id;titolo;data_uscita;data_fine_iscrizione;is_active;url_img;descrizione
1;estensibili Direct adattiva;2022-07-11T04:42:47;2022-07-10T17:22:12;false;override synthesize Concrete;../fake-data/blob/hipster.txt
2;Consultant Abilità;2022-07-11T08:21:33;2022-07-11T06:32:05;true;Buckinghamshire Shilling Group;../fake-data/blob/hipster.txt
3;magenta;2022-07-10T21:40:36;2022-07-11T08:37:37;true;funzionalità;../fake-data/blob/hipster.txt
4;Operations Ergonomic;2022-07-11T06:03:56;2022-07-11T08:36:29;false;Future Awesome Steel;../fake-data/blob/hipster.txt
5;RSS copy Soft;2022-07-11T00:19:36;2022-07-11T03:39:09;false;maroon SMTP primary;../fake-data/blob/hipster.txt
6;intuitivi Rotonda;2022-07-11T01:51:57;2022-07-10T21:37:48;false;Interactions Salad;../fake-data/blob/hipster.txt
7;convergenze District and;2022-07-11T05:33:16;2022-07-11T01:04:38;true;Sleek Bedfordshire synthesizing;../fake-data/blob/hipster.txt
8;Plastic connect;2022-07-11T10:01:29;2022-07-10T15:16:17;false;enterprise;../fake-data/blob/hipster.txt
9;Kwanza;2022-07-11T00:11:02;2022-07-11T04:39:55;true;Berkshire;../fake-data/blob/hipster.txt
10;panel Product;2022-07-10T16:41:33;2022-07-11T09:17:24;false;reattiva Account mint;../fake-data/blob/hipster.txt
