id;codice;descrizione;is_private;nome
1;navigate;../fake-data/blob/hipster.txt;true;Unbranded bottom-line Rotonda
2;haptic;../fake-data/blob/hipster.txt;false;Analyst
3;B2C Fresh Mouse;../fake-data/blob/hipster.txt;true;hack back-end
4;Outdoors Dynamic;../fake-data/blob/hipster.txt;true;Liaison
5;Myanmar cross-platform Roma;../fake-data/blob/hipster.txt;true;Account
6;ivory;../fake-data/blob/hipster.txt;true;spedizioni Sleek
7;Ragusa;../fake-data/blob/hipster.txt;false;Markets copy
8;Assurance sinergiche;../fake-data/blob/hipster.txt;true;Bielorussia payment Bacon
9;card Dynamic Tanzania;../fake-data/blob/hipster.txt;true;Security PNG organica
10;innovativi;../fake-data/blob/hipster.txt;false;Sports evolutive Via
