id;nome;description;note;is_active;url_img
1;system Islands generating;Benevento override polarizzata;interface Awesome;true;compressing ridotta online
2;purple Clothing;Officer;application payment;true;organica web
3;Specialist Tuna Cuban;Corporate;Cotton Functionality Program;true;deposit
4;Strategist reti back;sensibile;Fresh redundant Grocery;true;Infrastructure
5;Sassari;innovativi Granite;open-source;false;Metal bus Designer
6;Soft Metal;Administrator Contrada Rotonda;interfacce;true;Garden
7;Contrada Ascoli Grocery;Accounts bandwidth;Response Legacy;false;Licensed Cedi
8;Account;estensibili;distribuita cross-platform;true;index connect Serbia
9;Account sinergizzate parsing;Rial;Bike deposit;true;program circuit
10;Towels;withdrawal;Administrator Representative;true;withdrawal e-business Rete
