id;username;provincia;note_1;note_2;note_3
1;Via target;Teramo;applicazioni;Avon redundant;coesiva Metal Garden
2;Handmade Games;Legacy Ringgit Bangladesh;Fantastic Fermo;Bedfordshire;Lodi
3;deposit;interattive Account;Cipro;assimilata Shoes bus;COM
4;Senior Lucca back-end;FTP;Berkshire;Supervisor Tasty Andorra;direzionale
5;magenta Mouse Web;Shoes;Account piccola multimedia;Aosta Small;Executive
6;modelli mint;Toys architetture Rustic;Infrastructure;Spezia;SSL
7;Sovrastruttura pink;Baby maroon;Rubber Ucraina;Via fondamentale overriding;Bacon PCI
8;olive compressing Soft;Fantastic;Borgo Auto Shirt;universale;Web red
9;Manager;calculating;open-source;Metical mondiali AI;Strategist
10;modulare index District;payment SCSI;JSON mercati;quantify Pound;logistica Associate
